Issue Type,Summary,Description,Priority,Status,Work Item ID,Parent,Epic Name,Epic Link,Assignee,Reporter,Labels,Labels2,Component,Component2,Story Points,Squad Owner,Acceptance Criteria,Comment
"Epic","[EPIC] E1 Identidade e Perfil Maker","Cadastro, autenticacao e perfil tecnico do maker com base para social e competicao.","Highest","To Do","5101","","[EPIC] E1 Identidade e Perfil Maker","","","","mvp-social","onda-1","identity","backend","8","Backend+Frontend","Fluxo de conta e perfil funcional com campos tecnicos.",""
"Story","[STORY] E1-S1 Cadastro e autenticacao","Criar fluxo de registro e login para acesso a funcionalidades sociais.","High","To Do","5102","5101","","[EPIC] E1 Identidade e Perfil Maker","","","auth","security","backend","api","5","Backend","Usuario registra e autentica sem erro de regra de negocio.",""
"Sub-task","[TASK] E1-S1-T1 Criar tabela users e indice unico","Modelar tabela users com unicidade de email.","High","To Do","5104","5102","","","","","database","migration","mysql","","2","Backend","Tabela criada e indice unico aplicado para email.",""
"Sub-task","[TASK] E1-S1-T2 Implementar endpoint de registro","Criar endpoint POST /auth/register com validacoes.","High","To Do","5105","5102","","","","","backend","api","auth","","1","Backend","Registro cria conta valida e retorna resposta padrao.",""
"Sub-task","[TASK] E1-S1-T3 Implementar endpoint de login","Criar endpoint POST /auth/login com emissao de token.","High","To Do","5106","5102","","","","","backend","api","auth","","1","Backend","Login retorna token valido para usuario autenticado.",""
"Sub-task","[TASK] E1-S1-T4 Testes de credenciais","Cobrir cenarios de credenciais validas e invalidas.","Medium","To Do","5107","5102","","","","","qa","auth","test","","1","Backend","Testes automatizados cobrindo erro e sucesso no login.",""
"Story","[STORY] E1-S2 Perfil com stack tecnico","Exibir e editar perfil maker com hardware stack e badges.","Medium","To Do","5103","5101","","[EPIC] E1 Identidade e Perfil Maker","","","profile","frontend","web","api","3","Frontend+Backend","Perfil permite leitura e atualizacao de campos tecnicos.",""
"Sub-task","[TASK] E1-S2-T1 Endpoint GET de perfil","Implementar GET /users/{userId}.","Medium","To Do","5108","5103","","","","","backend","api","profile","","1","Backend","Endpoint retorna perfil completo do usuario.",""
"Sub-task","[TASK] E1-S2-T2 Endpoint PATCH de perfil","Implementar PATCH /users/{userId}.","Medium","To Do","5109","5103","","","","","backend","api","profile","","1","Backend","Endpoint atualiza bio e hardware stack com validacao.",""
"Sub-task","[TASK] E1-S2-T3 Tela de perfil","Renderizar stack e badges no frontend.","Medium","To Do","5110","5103","","","","","frontend","ui","profile","","1","Frontend","Tela de perfil apresenta campos atualizados corretamente.",""
"Epic","[EPIC] E2 Feed Social de Projetos","Publicacao social de projetos, comentarios e reacoes no feed.","Highest","To Do","5201","","[EPIC] E2 Feed Social de Projetos","","","","mvp-social","onda-1","social","frontend","13","Frontend+Backend","Feed funcional com publicacao e interacao.",""
"Story","[STORY] E2-S1 Publicacao de post","Criar publicacao social vinculada ou nao a projeto.","High","To Do","5202","5201","","[EPIC] E2 Feed Social de Projetos","","","posts","api","backend","social","5","Backend+Frontend","Usuario autenticado publica post com sucesso.",""
"Sub-task","[TASK] E2-S1-T1 Criar tabela posts","Modelar entidade posts com visibilidade.","High","To Do","5205","5202","","","","","database","migration","mysql","","2","Backend","Tabela posts criada com chaves e indices basicos.",""
"Sub-task","[TASK] E2-S1-T2 Endpoint POST de post","Implementar POST /posts.","High","To Do","5206","5202","","","","","backend","api","posts","","2","Backend","Endpoint cria post com autor autenticado.",""
"Sub-task","[TASK] E2-S1-T3 Validar visibilidade e autor","Aplicar regras de ownership e visibilidade.","Medium","To Do","5207","5202","","","","","backend","rules","posts","","1","Backend","Regras impedem publicacao invalida.",""
"Story","[STORY] E2-S2 Interacao social","Implementar comentarios e reacoes por post.","High","To Do","5203","5201","","[EPIC] E2 Feed Social de Projetos","","","comments","reactions","backend","social","5","Backend+Frontend","Comentarios e reacoes disponiveis com unicidade por usuario/post.",""
"Sub-task","[TASK] E2-S2-T1 Criar tabelas comments e reactions","Modelar post_comments e post_reactions.","High","To Do","5208","5203","","","","","database","migration","mysql","","2","Backend","Tabelas criadas com integridade referencial.",""
"Sub-task","[TASK] E2-S2-T2 Endpoint de comentario","Implementar POST /posts/{postId}/comments.","Medium","To Do","5209","5203","","","","","backend","api","comments","","1","Backend","Comentario e persistido no post correto.",""
"Sub-task","[TASK] E2-S2-T3 Endpoint de reacao","Implementar POST /posts/{postId}/reactions.","Medium","To Do","5210","5203","","","","","backend","api","reactions","","1","Backend","Reacao respeita regra de uma por usuario por post.",""
"Sub-task","[TASK] E2-S2-T4 Endpoint remover reacao","Implementar DELETE /posts/{postId}/reactions.","Medium","To Do","5211","5203","","","","","backend","api","reactions","","1","Backend","Usuario remove sua propria reacao com sucesso.",""
"Story","[STORY] E2-S3 Feed com filtro","Listar feed paginado com filtros por categoria e visibilidade.","High","To Do","5204","5201","","[EPIC] E2 Feed Social de Projetos","","","feed","frontend","web","api","3","Frontend+Backend","Feed retorna dados paginados e filtros funcionais.",""
"Sub-task","[TASK] E2-S3-T1 Endpoint GET feed","Implementar GET /feed com paginacao.","Medium","To Do","5212","5204","","","","","backend","api","feed","","1","Backend","Endpoint suporta page, category e visibility.",""
"Sub-task","[TASK] E2-S3-T2 Filtro por categoria e visibilidade","Aplicar filtros no backend.","Medium","To Do","5213","5204","","","","","backend","rules","feed","","1","Backend","Resposta reflete filtros solicitados corretamente.",""
"Sub-task","[TASK] E2-S3-T3 Componente de feed","Construir tela de feed no frontend.","Medium","To Do","5214","5204","","","","","frontend","ui","feed","","1","Frontend","Tela exibe cards com paginacao e estado de loading.",""
"Epic","[EPIC] E3 Robos, Partidas e Ranking","Cadastro de robos, historico de partidas e ranking competitivo.","Highest","To Do","5301","","[EPIC] E3 Robos, Partidas e Ranking","","","mvp-competition","onda-2","robotics","backend","13","Backend+Frontend","Fluxo competitivo funcional com ranking consistente.",""
"Story","[STORY] E3-S1 Cadastro de robo","Cadastrar robo ligado a usuario ou equipe.","High","To Do","5302","5301","","[EPIC] E3 Robos, Partidas e Ranking","","","robots","api","backend","domain","3","Backend","Robo criado e consultado com ownership valido.",""
"Sub-task","[TASK] E3-S1-T1 Criar tabela robots","Modelar entidade robots.","Medium","To Do","5305","5302","","","","","database","migration","mysql","","1","Backend","Tabela robots criada com campos obrigatorios.",""
"Sub-task","[TASK] E3-S1-T2 Endpoint POST e GET de robo","Criar endpoints de cadastro e consulta.","Medium","To Do","5306","5302","","","","","backend","api","robots","","1","Backend","Endpoints funcionam com validacao basica.",""
"Sub-task","[TASK] E3-S1-T3 Validar ownership","Garantir owner_user_id ou owner_team_id obrigatorio.","Medium","To Do","5307","5302","","","","","backend","rules","robots","","1","Backend","Regra impede robo sem dono valido.",""
"Story","[STORY] E3-S2 Registro de partidas","Registrar partidas e resultados por robo.","High","To Do","5303","5301","","[EPIC] E3 Robos, Partidas e Ranking","","","matches","api","backend","domain","5","Backend","Partidas persistidas com resultado valido win/loss/draw.",""
"Sub-task","[TASK] E3-S2-T1 Criar tabela robot_matches","Modelar historico de partidas.","Medium","To Do","5308","5303","","","","","database","migration","mysql","","2","Backend","Tabela robot_matches criada e indexada.",""
"Sub-task","[TASK] E3-S2-T2 Endpoint POST de partidas","Implementar POST /robots/{robotId}/matches.","Medium","To Do","5309","5303","","","","","backend","api","matches","","2","Backend","Endpoint registra partida com integridade dos dados.",""
"Sub-task","[TASK] E3-S2-T3 Regras de integridade","Validar score e resultado por regra de negocio.","Medium","To Do","5310","5303","","","","","backend","rules","matches","","1","Backend","Dados inconsistentes retornam erro de validacao.",""
"Story","[STORY] E3-S3 Estatisticas e ranking","Calcular stats e ranking de robos e usuarios.","High","To Do","5304","5301","","[EPIC] E3 Robos, Partidas e Ranking","","","leaderboard","stats","backend","jobs","5","Backend","Rankings atualizados de forma consistente apos partidas.",""
"Sub-task","[TASK] E3-S3-T1 Endpoint stats por robo","Implementar GET /robots/{robotId}/stats.","Medium","To Do","5311","5304","","","","","backend","api","stats","","1","Backend","Endpoint retorna vitorias, derrotas e empates corretos.",""
"Sub-task","[TASK] E3-S3-T2 Endpoint leaderboard robos","Implementar ranking por robo.","Medium","To Do","5312","5304","","","","","backend","api","leaderboard","","1","Backend","Lista ordena por criterio competitivo definido.",""
"Sub-task","[TASK] E3-S3-T3 Endpoint leaderboard usuarios","Implementar ranking agregado por usuario.","Medium","To Do","5313","5304","","","","","backend","api","leaderboard","","1","Backend","Ranking de usuarios consolida desempenho dos robos.",""
"Sub-task","[TASK] E3-S3-T4 Job de recomputo","Criar job assinc para recomputar ranking.","Medium","To Do","5314","5304","","","","","backend","queue","ranking","","2","Backend","Recomputo idempotente executa sem divergencia de resultados.",""
"Epic","[EPIC] E4 Equipes","Criacao de equipes, convites e papeis basicos.","High","To Do","5401","","[EPIC] E4 Equipes","","","","mvp-teams","onda-2","teams","backend","8","Backend+Frontend","Equipe criada, convite aceito e permissao aplicada.",""
"Story","[STORY] E4-S1 Criacao e gestao de equipe","Criar equipe e fluxo de convite de membros.","High","To Do","5402","5401","","[EPIC] E4 Equipes","","","teams","membership","backend","api","5","Backend+Frontend","Equipe ativa com membros em status correto.",""
"Sub-task","[TASK] E4-S1-T1 Criar tabelas teams e team_members","Modelar entidades de equipe.","Medium","To Do","5404","5402","","","","","database","migration","mysql","","2","Backend","Tabelas criadas com relacoes e indices.",""
"Sub-task","[TASK] E4-S1-T2 Endpoint criacao de equipe","Implementar POST /teams.","Medium","To Do","5405","5402","","","","","backend","api","teams","","2","Backend","Endpoint cria equipe com captain inicial.",""
"Sub-task","[TASK] E4-S1-T3 Endpoint convite e aceitacao","Implementar fluxo de convite de membro.","Medium","To Do","5406","5402","","","","","backend","api","teams","","1","Backend","Membro muda para status ativo apos aceitar.",""
"Story","[STORY] E4-S2 Permissoes basicas por papel","Aplicar autorizacao por papeis captain e member.","Medium","To Do","5403","5401","","[EPIC] E4 Equipes","","","authorization","security","backend","rules","3","Backend","Papeis limitam operacoes conforme regra definida.",""
"Sub-task","[TASK] E4-S2-T1 Definir papeis captain e member","Modelar papeis no dominio de equipe.","Medium","To Do","5407","5403","","","","","backend","domain","teams","","1","Backend","Papeis persistidos e reconhecidos no fluxo.",""
"Sub-task","[TASK] E4-S2-T2 Middleware de autorizacao","Aplicar middleware de permissao por papel.","Medium","To Do","5408","5403","","","","","backend","security","teams","","1","Backend","Acoes restritas para usuarios sem papel adequado.",""
"Sub-task","[TASK] E4-S2-T3 Testes de permissao","Cobrir cenarios de acesso permitido e negado.","Medium","To Do","5409","5403","","","","","qa","security","test","","1","Backend","Testes validam matriz de permissoes definida.",""
"Epic","[EPIC] E5 Comunidades Publicas e Privadas","Comunidades com controle de adesao e publicacao.","Highest","To Do","5501","","[EPIC] E5 Comunidades Publicas e Privadas","","","","mvp-community","onda-1","community","frontend","13","Frontend+Backend","Comunidades publicas e privadas com fluxo de membros.",""
"Story","[STORY] E5-S1 Criacao de comunidade","Criar comunidade com tipo public ou private e regras.","High","To Do","5502","5501","","[EPIC] E5 Comunidades Publicas e Privadas","","","communities","api","backend","domain","5","Backend","Comunidade criada com configuracao persistida.",""
"Sub-task","[TASK] E5-S1-T1 Criar tabelas communities e members","Modelar comunidades e membros.","Medium","To Do","5505","5502","","","","","database","migration","mysql","","2","Backend","Tabelas criadas com status de adesao.",""
"Sub-task","[TASK] E5-S1-T2 Endpoint criacao public/private","Implementar POST /communities com tipo.","Medium","To Do","5506","5502","","","","","backend","api","communities","","2","Backend","Endpoint cria comunidade em modo correto.",""
"Sub-task","[TASK] E5-S1-T3 Persistir regras da comunidade","Salvar rules_text e metadados de moderacao.","Medium","To Do","5507","5502","","","","","backend","domain","communities","","1","Backend","Regras ficam disponiveis para consulta e exibicao.",""
"Story","[STORY] E5-S2 Fluxo de adesao","Controlar solicitacao e aprovacao de membros.","High","To Do","5503","5501","","[EPIC] E5 Comunidades Publicas e Privadas","","","membership","moderation","backend","api","5","Backend+Frontend","Entrada publica automatica e privada por aprovacao.",""
"Sub-task","[TASK] E5-S2-T1 Endpoint join","Implementar POST /communities/{id}/join.","Medium","To Do","5508","5503","","","","","backend","api","communities","","2","Backend","Join respeita tipo public/private da comunidade.",""
"Sub-task","[TASK] E5-S2-T2 Endpoint aprovacao/rejeicao","Implementar PATCH de membership status.","Medium","To Do","5509","5503","","","","","backend","api","communities","","2","Backend","Moderador aprova ou rejeita solicitacoes.",""
"Sub-task","[TASK] E5-S2-T3 Garantir status membership","Aplicar requested/approved/rejected de forma consistente.","Medium","To Do","5510","5503","","","","","backend","rules","communities","","1","Backend","Transicoes invalidas de status sao bloqueadas.",""
"Story","[STORY] E5-S3 Conteudo em comunidade","Permitir publicacao de posts dentro da comunidade.","Medium","To Do","5504","5501","","[EPIC] E5 Comunidades Publicas e Privadas","","","community-posts","frontend","web","api","3","Frontend+Backend","Apenas membros aprovados publicam e listam conteudo.",""
"Sub-task","[TASK] E5-S3-T1 Endpoint de post da comunidade","Implementar POST /communities/{id}/posts.","Medium","To Do","5511","5504","","","","","backend","api","community-posts","","1","Backend","Post criado no contexto da comunidade correta.",""
"Sub-task","[TASK] E5-S3-T2 Restricao por aprovacao","Bloquear publicacao para nao membros.","Medium","To Do","5512","5504","","","","","backend","security","community-posts","","1","Backend","Regra de aprovacao aplicada antes da escrita.",""
"Sub-task","[TASK] E5-S3-T3 Listagem de posts por comunidade","Implementar listagem paginada de posts.","Medium","To Do","5513","5504","","","","","frontend","ui","community-posts","","1","Frontend","Timeline da comunidade exibe posts com ordenacao.",""
"Epic","[EPIC] E6 Governanca minima e observabilidade","Auditoria basica, healthcheck e log estruturado.","High","To Do","5601","","[EPIC] E6 Governanca minima e observabilidade","","","","mvp-governance","onda-3","governance","backend","8","Backend","Trilha minima de auditoria e saude operacional ativa.",""
"Story","[STORY] E6-S1 Auditoria basica","Registrar eventos criticos para governanca.","High","To Do","5602","5601","","[EPIC] E6 Governanca minima e observabilidade","","","audit","compliance","backend","logs","5","Backend","Eventos criticos ficam rastreaveis para administracao.",""
"Sub-task","[TASK] E6-S1-T1 Log alteracao de partida","Registrar mudancas de resultado de partida.","Medium","To Do","5604","5602","","","","","backend","audit","matches","","2","Backend","Alteracao de resultado gera evento auditavel.",""
"Sub-task","[TASK] E6-S1-T2 Log aprovacao/rejeicao comunidade","Registrar decisoes de membership.","Medium","To Do","5605","5602","","","","","backend","audit","communities","","2","Backend","Acoes de moderacao ficam registradas com ator e horario.",""
"Sub-task","[TASK] E6-S1-T3 Consulta basica de eventos","Expor endpoint simples para consulta de auditoria.","Medium","To Do","5606","5602","","","","","backend","api","audit","","1","Backend","Consulta retorna eventos por tipo e periodo.",""
"Story","[STORY] E6-S2 Saude operacional","Garantir saude da API e visibilidade de erros.","Medium","To Do","5603","5601","","[EPIC] E6 Governanca minima e observabilidade","","","observability","ops","backend","monitoring","3","Backend","Healthcheck e logs permitem diagnostico rapido.",""
"Sub-task","[TASK] E6-S2-T1 Healthcheck de API","Implementar endpoint de healthcheck.","Medium","To Do","5607","5603","","","","","backend","ops","healthcheck","","1","Backend","Endpoint retorna estado da aplicacao e dependencias.",""
"Sub-task","[TASK] E6-S2-T2 Log estruturado","Padronizar logs de erro e contexto.","Medium","To Do","5608","5603","","","","","backend","ops","logging","","1","Backend","Logs incluem correlationId e severidade.",""
"Sub-task","[TASK] E6-S2-T3 Dashboard basico de falhas","Consolidar falhas por endpoint para acompanhamento.","Medium","To Do","5609","5603","","","","","backend","ops","monitoring","","1","Backend","Painel apresenta taxa de erro por endpoint.",""
