Issue Type,Summary,Description,Priority,Status,Work Item ID,Parent,Epic Name,Epic Link,Assignee,Reporter,Labels,Labels2,Component,Component2,Story Points,Squad Owner,Acceptance Criteria,Comment
"Story","[STORY] Demo Gate D5 - Mid Demo e Controle de Risco","Executar gate D5 com validacao do fluxo E2E, evidencias de risco e snapshot parcial de metricas IA para liberar fechamento da sprint.","High","To Do","9101","","","","","vinicius.froes@catolicasc.edu.br","demo","d5","qa","governance","5","Backend+AI-Orchestrator+Product","Fluxo extract->embeddings->pinecone->rag->callback demonstrado; 1 execucao E2E sem falha manual; riscos D6-D9 registrados com owner e ETA.",""
"Sub-task","[TASK] D5-T1 Validar fluxo E2E completo","Rodar demonstracao ponta a ponta no fluxo principal com captura de tempos por etapa e status final de callback.","High","To Do","9102","9101","","","","vinicius.froes@catolicasc.edu.br","demo","d5","n8n","pipeline","2","AI-Orchestrator","Execucao finaliza com status done; logs por etapa salvos; sem intervencao manual durante o fluxo.",""
"Sub-task","[TASK] D5-T2 Validar falha controlada e observabilidade","Executar cenario de erro controlado (timeout ou parse) e confirmar registro claro de erro no log para troubleshooting.","Medium","To Do","9103","9101","","","","vinicius.froes@catolicasc.edu.br","demo","d5","backend","observability","1","Backend","Erro controlado reproduzido; log com causa raiz registrado; acao de mitigacao documentada.",""
"Sub-task","[TASK] D5-T3 Publicar snapshot parcial de metricas IA","Consolidar p50/p95, taxa de parse JSON e status parcial de relevancia em documento de evidencia da sprint.","Medium","To Do","9104","9101","","","","vinicius.froes@catolicasc.edu.br","demo","d5","metrics","ai","1","Product+AI-Orchestrator","Documento de evidencia publicado; metricas anexadas; decisao GO/NO-GO D5 registrada.",""
"Sub-task","[TASK] D5-T4 Validar filtro PII e trilha LGPD","Comprovar que dados sensiveis foram anonimizados antes de chamadas externas e registrar evidencia no pacote da demo.","High","To Do","9105","9101","","","","vinicius.froes@catolicasc.edu.br","demo","d5","security","lgpd","1","Backend","Evidencia de mascaramento PII anexada; nenhum dado sensivel enviado para chamada externa.",""
"Story","[STORY] Demo Gate D10 - Final Demo e Fechamento","Executar gate D10 com criterios finais de qualidade RAG, latencia, estabilidade e evidencias de governanca para encerramento da sprint.","Highest","To Do","9111","","","","","vinicius.froes@catolicasc.edu.br","demo","d10","qa","governance","8","Backend+Frontend+AI-Orchestrator+Product","Relevancia >= 85%; latencia total < 15s; 0 bug P0 no fluxo principal; relatorio final e backlog da proxima sprint publicados.",""
"Sub-task","[TASK] D10-T1 Validar KPI final de qualidade e latencia","Rodar bateria final com conjunto de validacao definido e consolidar p50/p95, relevancia e taxa de parse JSON.","Highest","To Do","9112","9111","","","","vinicius.froes@catolicasc.edu.br","demo","d10","metrics","ai","3","AI-Orchestrator","Relatorio final mostra relevancia >=85% e latencia total <15s; metodo e amostra descritos.",""
"Sub-task","[TASK] D10-T2 Garantir estabilidade sem bug critico","Executar smoke de fluxo principal e confirmar ausencia de bug P0 aberto no caminho de demonstracao.","High","To Do","9113","9111","","","","vinicius.froes@catolicasc.edu.br","demo","d10","backend","quality","2","Backend+Frontend","Checklist de estabilidade aprovado; nenhum P0 aberto; plano de risco residual atualizado.",""
"Sub-task","[TASK] D10-T3 Publicar evidencias e ata de demo","Publicar ata da demo, links de evidencias e decisoes de fechamento para governanca da sprint.","Medium","To Do","9114","9111","","","","vinicius.froes@catolicasc.edu.br","demo","d10","product","governance","1","Product","Ata publicada; decisoes e proximos passos registrados; evidencias anexadas em docs.",""
"Sub-task","[TASK] D10-T4 Atualizar backlog da proxima sprint","Converter pendencias e debitos tecnicos P1/P2 em backlog priorizado com owner para a sprint seguinte.","Medium","To Do","9115","9111","","","","vinicius.froes@catolicasc.edu.br","demo","d10","planning","backlog","2","Product+Backend","Backlog atualizado no Jira; itens com prioridade e owner definidos; dependencias mapeadas.",""
