JiraKey,Suggested Status,Comment
ML-80,In Progress,"[2026-04-22][KICKOFF-SPRINT] Epic E1 iniciada na Onda 1. Foco em cadastro, autenticacao e perfil tecnico para habilitar os fluxos sociais do MVP."
ML-79,In Progress,"[2026-04-22][KICKOFF-SPRINT] Epic E2 iniciada na Onda 1. Feed social com publicacao, comentarios e reacoes entrou em execucao com prioridade P0."
ML-76,In Progress,"[2026-04-22][KICKOFF-SPRINT] Epic E5 iniciada na Onda 1. Comunidades publicas/privadas com adesao controlada priorizadas para entrega social base."
ML-95,In Progress,"[2026-04-22][KICKOFF-SPRINT] Story E1-S1 iniciada: registro e login. Meta: liberar autenticacao funcional para habilitar os demais modulos."
ML-93,In Progress,"[2026-04-22][KICKOFF-SPRINT] Story E2-S1 iniciada: publicacao de post. Meta: permitir postagem social vinculada ou nao a projeto."
ML-91,In Progress,"[2026-04-22][KICKOFF-SPRINT] Story E2-S3 iniciada: feed com filtro e paginacao para categorias do MVP."
ML-85,In Progress,"[2026-04-22][KICKOFF-SPRINT] Story E5-S1 iniciada: criacao de comunidade com tipo public/private e regras basicas."
ML-84,In Progress,"[2026-04-22][KICKOFF-SPRINT] Story E5-S2 iniciada: fluxo de adesao e aprovacao para comunidades privadas."
ML-78,To Do,"[2026-04-22][KICKOFF-SPRINT] Epic E3 planejada para Onda 2 apos estabilizacao da base social."
ML-77,To Do,"[2026-04-22][KICKOFF-SPRINT] Epic E4 planejada para Onda 2 com foco em equipes, convites e papeis."
ML-75,To Do,"[2026-04-22][KICKOFF-SPRINT] Epic E6 planejada para Onda 3 para fechar governanca minima e observabilidade."
ML-83,To Do,"[2026-04-22][KICKOFF-SPRINT] Story E5-S3 planejada para Onda 3: conteudo em comunidade apos conclusao do fluxo de adesao."
