Issue Type,Summary,Description,Priority,Status,Work Item ID,Parent,Epic Name,Epic Link,Assignee,Reporter,Labels,Labels2,Component,Component2,Story Points,Squad Owner,Acceptance Criteria,Comment
"Epic","[EPIC] S0-E1 Fundacao Tecnica e Governanca IA","Definir fundacao da MakerConnect para governanca IoT com baseline de validacao IA e rastreabilidade de projeto.","Highest","To Do","1001","","[EPIC] S0-E1 Fundacao Tecnica e Governanca IA","","","pm.lead@empresa.com","mvp","sprint-0","architecture","product","13","Product+Backend+AI-Orchestrator","Backlog P0 definido e priorizado; baseline de validacao com IA vs sem IA documentado; riscos de arquitetura classificados.",""
"Story","[STORY] S0-E1-H1 Planejamento de validacao IA","Definir protocolo de medicao para qualidade RAG, latencia e reducao de esforco documental.","High","To Do","1002","1001","","[EPIC] S0-E1 Fundacao Tecnica e Governanca IA","product.owner@empresa.com","pm.lead@empresa.com","planning","ia-validation","product","analytics","5","Product+AI-Orchestrator","Plano de medicao publicado; criterio RAG >85% definido; metodo comparativo com/sem IA aprovado.",""
"Sub-task","[TASK] S0-E1-H1-T1 Definir dataset holdout de validacao","Montar amostra de projetos IoT para avaliar recuperacao RAG e cobertura documental.","High","To Do","1003","1002","","[EPIC] S0-E1 Fundacao Tecnica e Governanca IA","ai.orchestrator@empresa.com","pm.lead@empresa.com","ai","sprint-0","rag","data","2","AI-Orchestrator","Dataset holdout versionado; criterios de relevancia definidos; origem de dados rastreavel.",""
"Sub-task","[TASK] S0-E1-H1-T2 Definir baseline sem IA","Desenhar fluxo manual sem agentes para comparar tempo e cobertura documental.","High","To Do","1004","1002","","[EPIC] S0-E1 Fundacao Tecnica e Governanca IA","product.owner@empresa.com","pm.lead@empresa.com","product","sprint-0","process","docs","2","Product","Fluxo baseline descrito; metricas comparaveis com fluxo IA; checklist de coleta aprovado.",""
"Epic","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","Implementar pipeline funcional extracao -> pre-proc -> modelo -> pos-proc com conformidade LGPD.","Highest","To Do","2001","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","","","pm.lead@empresa.com","mvp","sprint-1","n8n","ai","21","Backend+AI-Orchestrator","Pipeline executa ponta a ponta com input real; PII anonimizada antes da LLM; latencia alvo <15s monitorada.",""
"Story","[STORY] S1-E1-H1 Orquestrar workflow IA no n8n","Criar workflow com webhook, embeddings, recuperacao vetorial e geracao de requisitos SW/HW.","Highest","To Do","2002","2001","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","ai.orchestrator@empresa.com","pm.lead@empresa.com","n8n","rag","orchestrator","llm","8","AI-Orchestrator","Workflow ativo com logs por etapa; similaridade de cosseno registrada; output estruturado salvo.",""
"Sub-task","[TASK] S1-E1-H1-T1 Webhook de extracao texto/imagem","Receber entrada do frontend e normalizar metadados tecnicos para o pipeline.","High","To Do","2003","2002","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","backend.dev@empresa.com","pm.lead@empresa.com","backend","sprint-1","api","n8n","3","Backend","Webhook processa payload valido; erros padronizados; log de correlacao por request.",""
"Sub-task","[TASK] S1-E1-H1-T2 Integrar embeddings e busca vetorial","Gerar embeddings e consultar Pinecone/Supabase com threshold de relevancia configuravel.","High","To Do","2004","2002","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","ai.orchestrator@empresa.com","pm.lead@empresa.com","ai","sprint-1","rag","vector-db","3","AI-Orchestrator","Consulta retorna evidencias tecnicas; score de similaridade persistido; fallback definido.",""
"Sub-task","[TASK] S1-E1-H1-T3 Middleware de anonimização LGPD","Aplicar mascaramento de PII antes de chamadas externas para LLM.","Highest","To Do","2005","2002","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","backend.dev@empresa.com","pm.lead@empresa.com","security","lgpd","middleware","api","3","Backend","Campos sensiveis anonimizados; auditoria de transformacao registrada; sem envio de PII para LLM.",""
"Story","[STORY] S1-E1-H2 Medir qualidade e latencia do pipeline","Instrumentar metricas para relevar qualidade RAG e desempenho ponta a ponta.","High","To Do","2006","2001","","[EPIC] S1-E1 Pipeline IA n8n com RAG e LGPD","backend.dev@empresa.com","pm.lead@empresa.com","observability","metrics","api","monitoring","5","Backend+AI-Orchestrator","Dashboard com tempo por etapa; relatorio de relevancia >85%; comparativo com baseline sem IA.",""
